Job ID     : 162604
Node       : b-19-1
Start time : Fri Apr 10 18:55:11 EDT 2026
Starting training...
Device: cuda
  GPU: NVIDIA A100-SXM4-40GB
Loaded channel stats from /scratch/va2661/data/active_matter/stats.yaml
  Raw stats keys: ['mean', 'mean_delta', 'rms', 'rms_delta', 'std', 'std_delta']
  mean: ['1.0000', '-0.0000', '0.0000', '0.5018', '-0.0062', '-0.0062', '0.4982', '0.0000', '0.0000', '0.0000', '-0.0000']
  std : ['0.0030', '0.5772', '0.5671', '0.3201', '0.3311', '0.3311', '0.3202', '0.4073', '0.4322', '0.4322', '0.4073']
Dataset sizes  — train: 11,550  val: 1,584  test: 1,716
Batches/epoch  — train: 721  val: 99

Model parameters: encoder=23.46M  predictor=3.12M  total=26.58M

Starting training from epoch 0 / 100

  Epoch 000 [   0/721]  loss=0.4517  lr=0.00e+00  ema_tau=0.99600
  Epoch 000 [  20/721]  loss=0.4486  lr=4.16e-07  ema_tau=0.99600
  Epoch 000 [  40/721]  loss=0.4362  lr=8.32e-07  ema_tau=0.99600
  Epoch 000 [  60/721]  loss=0.4273  lr=1.25e-06  ema_tau=0.99600
  Epoch 000 [  80/721]  loss=0.4116  lr=1.66e-06  ema_tau=0.99600
  Epoch 000 [ 100/721]  loss=0.4010  lr=2.08e-06  ema_tau=0.99600
  Epoch 000 [ 120/721]  loss=0.3925  lr=2.50e-06  ema_tau=0.99600
  Epoch 000 [ 140/721]  loss=0.3812  lr=2.91e-06  ema_tau=0.99600
  Epoch 000 [ 160/721]  loss=0.3770  lr=3.33e-06  ema_tau=0.99600
  Epoch 000 [ 180/721]  loss=0.3691  lr=3.74e-06  ema_tau=0.99600
  Epoch 000 [ 200/721]  loss=0.3635  lr=4.16e-06  ema_tau=0.99600
  Epoch 000 [ 220/721]  loss=0.3614  lr=4.58e-06  ema_tau=0.99600
  Epoch 000 [ 240/721]  loss=0.3518  lr=4.99e-06  ema_tau=0.99600
  Epoch 000 [ 260/721]  loss=0.3492  lr=5.41e-06  ema_tau=0.99600
  Epoch 000 [ 280/721]  loss=0.3447  lr=5.83e-06  ema_tau=0.99600
  Epoch 000 [ 300/721]  loss=0.3410  lr=6.24e-06  ema_tau=0.99600
  Epoch 000 [ 320/721]  loss=0.3373  lr=6.66e-06  ema_tau=0.99600
  Epoch 000 [ 340/721]  loss=0.3286  lr=7.07e-06  ema_tau=0.99600
  Epoch 000 [ 360/721]  loss=0.3272  lr=7.49e-06  ema_tau=0.99600
  Epoch 000 [ 380/721]  loss=0.3236  lr=7.91e-06  ema_tau=0.99600
  Epoch 000 [ 400/721]  loss=0.3122  lr=8.32e-06  ema_tau=0.99600
  Epoch 000 [ 420/721]  loss=0.3070  lr=8.74e-06  ema_tau=0.99600
  Epoch 000 [ 440/721]  loss=0.3049  lr=9.15e-06  ema_tau=0.99600
  Epoch 000 [ 460/721]  loss=0.2970  lr=9.57e-06  ema_tau=0.99600
  Epoch 000 [ 480/721]  loss=0.2846  lr=9.99e-06  ema_tau=0.99600
  Epoch 000 [ 500/721]  loss=0.2787  lr=1.04e-05  ema_tau=0.99600
