Job ID     : 162454
Node       : b-19-58
Start time : Fri Apr 10 10:00:28 EDT 2026
Starting training...
Device: cuda
  GPU: NVIDIA A100-SXM4-40GB
Loaded channel stats from /scratch/va2661/data/active_matter/stats.yaml
  Raw stats keys: ['mean', 'mean_delta', 'rms', 'rms_delta', 'std', 'std_delta']
  mean: ['1.0000', '-0.0000', '0.0000', '0.5018', '-0.0062', '-0.0062', '0.4982', '0.0000', '0.0000', '0.0000', '-0.0000']
  std : ['0.0030', '0.5772', '0.5671', '0.3201', '0.3311', '0.3311', '0.3202', '0.4073', '0.4322', '0.4322', '0.4073']
Dataset sizes  — train: 11,550  val: 1,584  test: 1,716
Batches/epoch  — train: 721  val: 99

Model parameters: encoder=23.46M  predictor=3.12M  total=26.58M

Starting training from epoch 0 / 50
  Epoch 001 [ 400/721]  loss=0.1548  lr=9.33e-05  ema_tau=0.99601
  Epoch 001 [ 420/721]  loss=0.1611  lr=9.50e-05  ema_tau=0.99601
  Epoch 001 [ 440/721]  loss=0.1564  lr=9.66e-05  ema_tau=0.99601
  Epoch 001 [ 460/721]  loss=0.1733  lr=9.83e-05  ema_tau=0.99601
  Epoch 001 [ 480/721]  loss=0.1905  lr=9.99e-05  ema_tau=0.99601
  Epoch 001 [ 500/721]  loss=0.1606  lr=1.02e-04  ema_tau=0.99601
  Epoch 001 [ 520/721]  loss=0.1732  lr=1.03e-04  ema_tau=0.99601
  Epoch 001 [ 540/721]  loss=0.1816  lr=1.05e-04  ema_tau=0.99601
  Epoch 001 [ 560/721]  loss=0.1726  lr=1.07e-04  ema_tau=0.99601
  Epoch 001 [ 580/721]  loss=0.1967  lr=1.08e-04  ema_tau=0.99601
  Epoch 001 [ 600/721]  loss=0.1796  lr=1.10e-04  ema_tau=0.99601
  Epoch 001 [ 620/721]  loss=0.1861  lr=1.12e-04  ema_tau=0.99601
  Epoch 001 [ 640/721]  loss=0.1736  lr=1.13e-04  ema_tau=0.99601
  Epoch 001 [ 660/721]  loss=0.1689  lr=1.15e-04  ema_tau=0.99601
  Epoch 001 [ 680/721]  loss=0.1727  lr=1.17e-04  ema_tau=0.99601
  Epoch 001 [ 700/721]  loss=0.1936  lr=1.18e-04  ema_tau=0.99602
  Epoch 001 [ 720/721]  loss=0.1784  lr=1.20e-04  ema_tau=0.99602

Epoch 001 done | avg_loss=0.1617 | time=294.8s
  Val loss: 0.1830
  Checkpoint saved → /scratch/va2661/data/active_matter/checkpoints/jepa/latest.pt

  Epoch 002 [   0/721]  loss=0.2021  lr=1.20e-04  ema_tau=0.99602
  Epoch 002 [  20/721]  loss=0.2034  lr=1.22e-04  ema_tau=0.99602
  Epoch 002 [  40/721]  loss=0.1902  lr=1.23e-04  ema_tau=0.99602
  Epoch 002 [  60/721]  loss=0.1743  lr=1.25e-04  ema_tau=0.99602
  Epoch 002 [  80/721]  loss=0.1904  lr=1.27e-04  ema_tau=0.99602
  Epoch 002 [ 100/721]  loss=0.1989  lr=1.28e-04  ema_tau=0.99602
  Epoch 002 [ 120/721]  loss=0.1702  lr=1.30e-04  ema_tau=0.99602
  Epoch 002 [ 140/721]  loss=0.1699  lr=1.32e-04  ema_tau=0.99602
  Epoch 002 [ 160/721]  loss=0.1929  lr=1.33e-04  ema_tau=0.99602
  Epoch 002 [ 180/721]  loss=0.1889  lr=1.35e-04  ema_tau=0.99602
  Epoch 002 [ 200/721]  loss=0.2056  lr=1.37e-04  ema_tau=0.99602
  Epoch 002 [ 220/721]  loss=0.2039  lr=1.38e-04  ema_tau=0.99602
  Epoch 002 [ 240/721]  loss=0.1913  lr=1.40e-04  ema_tau=0.99602
  Epoch 002 [ 260/721]  loss=0.2046  lr=1.42e-04  ema_tau=0.99602
  Epoch 002 [ 280/721]  loss=0.2092  lr=1.43e-04  ema_tau=0.99602
  Epoch 002 [ 300/721]  loss=0.2284  lr=1.45e-04  ema_tau=0.99602
  Epoch 002 [ 320/721]  loss=0.2294  lr=1.47e-04  ema_tau=0.99602
  Epoch 002 [ 340/721]  loss=0.1691  lr=1.48e-04  ema_tau=0.99602
  Epoch 002 [ 360/721]  loss=0.1961  lr=1.50e-04  ema_tau=0.99602
  Epoch 002 [ 380/721]  loss=0.1669  lr=1.52e-04  ema_tau=0.99603
  Epoch 002 [ 400/721]  loss=0.2260  lr=1.53e-04  ema_tau=0.99603
  Epoch 002 [ 420/721]  loss=0.1908  lr=1.55e-04  ema_tau=0.99603
  Epoch 002 [ 440/721]  loss=0.1826  lr=1.57e-04  ema_tau=0.99603
  Epoch 002 [ 460/721]  loss=0.1712  lr=1.58e-04  ema_tau=0.99603
  Epoch 002 [ 480/721]  loss=0.2166  lr=1.60e-04  ema_tau=0.99603
  Epoch 002 [ 500/721]  loss=0.1683  lr=1.62e-04  ema_tau=0.99603
  Epoch 002 [ 520/721]  loss=0.2097  lr=1.63e-04  ema_tau=0.99603
  Epoch 002 [ 540/721]  loss=0.2123  lr=1.65e-04  ema_tau=0.99603
  Epoch 002 [ 560/721]  loss=0.1830  lr=1.67e-04  ema_tau=0.99603
  Epoch 002 [ 580/721]  loss=0.1966  lr=1.68e-04  ema_tau=0.99603
  Epoch 002 [ 600/721]  loss=0.1912  lr=1.70e-04  ema_tau=0.99603
  Epoch 002 [ 620/721]  loss=0.2096  lr=1.72e-04  ema_tau=0.99603
  Epoch 002 [ 640/721]  loss=0.2204  lr=1.73e-04  ema_tau=0.99603
  Epoch 002 [ 660/721]  loss=0.1711  lr=1.75e-04  ema_tau=0.99603
  Epoch 002 [ 680/721]  loss=0.1962  lr=1.77e-04  ema_tau=0.99603
  Epoch 002 [ 700/721]  loss=0.1401  lr=1.78e-04  ema_tau=0.99603
  Epoch 002 [ 720/721]  loss=0.2192  lr=1.80e-04  ema_tau=0.99604

Epoch 002 done | avg_loss=0.1897 | time=293.1s
  Val loss: 0.2002
  Checkpoint saved → /scratch/va2661/data/active_matter/checkpoints/jepa/latest.pt

