Job ID     : 162758
Node       : b-19-50
Start time : Sat Apr 11 13:39:59 EDT 2026
Starting training...
Device: cuda
  GPU: NVIDIA A100-SXM4-40GB
Loaded channel stats from /scratch/va2661/data/active_matter/stats.yaml
  Raw stats keys: ['mean', 'mean_delta', 'rms', 'rms_delta', 'std', 'std_delta']
  mean: ['1.0000', '-0.0000', '0.0000', '0.5018', '-0.0062', '-0.0062', '0.4982', '0.0000', '0.0000', '0.0000', '-0.0000']
  std : ['0.0030', '0.5772', '0.5671', '0.3201', '0.3311', '0.3311', '0.3202', '0.4073', '0.4322', '0.4322', '0.4073']
Dataset sizes  — train: 11,550  val: 1,584  test: 1,716
Batches/epoch  — train: 721  val: 99

Model parameters: encoder=2.86M  predictor=0.64M  total=3.50M

Starting training from epoch 0 / 50
  Epoch 001 [ 400/721]  loss=0.2000  lr=2.33e-05  ema_tau=0.99601
  Epoch 001 [ 420/721]  loss=0.2037  lr=2.37e-05  ema_tau=0.99601
  Epoch 001 [ 440/721]  loss=0.1894  lr=2.42e-05  ema_tau=0.99601
  Epoch 001 [ 460/721]  loss=0.1906  lr=2.46e-05  ema_tau=0.99601
  Epoch 001 [ 480/721]  loss=0.2030  lr=2.50e-05  ema_tau=0.99601
  Epoch 001 [ 500/721]  loss=0.1933  lr=2.54e-05  ema_tau=0.99601
  Epoch 001 [ 520/721]  loss=0.1861  lr=2.58e-05  ema_tau=0.99601
  Epoch 001 [ 540/721]  loss=0.1752  lr=2.62e-05  ema_tau=0.99601
  Epoch 001 [ 560/721]  loss=0.1712  lr=2.67e-05  ema_tau=0.99601
  Epoch 001 [ 580/721]  loss=0.1838  lr=2.71e-05  ema_tau=0.99601
  Epoch 001 [ 600/721]  loss=0.1828  lr=2.75e-05  ema_tau=0.99601
  Epoch 001 [ 620/721]  loss=0.1906  lr=2.79e-05  ema_tau=0.99601
  Epoch 001 [ 640/721]  loss=0.1758  lr=2.83e-05  ema_tau=0.99601
  Epoch 001 [ 660/721]  loss=0.1758  lr=2.87e-05  ema_tau=0.99601
  Epoch 001 [ 680/721]  loss=0.1702  lr=2.91e-05  ema_tau=0.99601
  Epoch 001 [ 700/721]  loss=0.1819  lr=2.96e-05  ema_tau=0.99602
  Epoch 001 [ 720/721]  loss=0.1956  lr=3.00e-05  ema_tau=0.99602

Epoch 001 done | avg_loss=0.2179 | time=291.8s
  Val loss: 0.1845
  Checkpoint saved → /scratch/va2661/data/active_matter/checkpoints/jepa_run3/latest.pt
  Checkpoint saved → /scratch/va2661/data/active_matter/checkpoints/jepa_run3/best.pt

  Epoch 002 [   0/721]  loss=0.1762  lr=3.00e-05  ema_tau=0.99602
  Epoch 002 [  20/721]  loss=0.1797  lr=3.04e-05  ema_tau=0.99602
  Epoch 002 [  40/721]  loss=0.1983  lr=3.08e-05  ema_tau=0.99602
  Epoch 002 [  60/721]  loss=0.2038  lr=3.12e-05  ema_tau=0.99602
  Epoch 002 [  80/721]  loss=0.2034  lr=3.17e-05  ema_tau=0.99602
  Epoch 002 [ 100/721]  loss=0.1755  lr=3.21e-05  ema_tau=0.99602
  Epoch 002 [ 120/721]  loss=0.1970  lr=3.25e-05  ema_tau=0.99602
  Epoch 002 [ 140/721]  loss=0.1869  lr=3.29e-05  ema_tau=0.99602
  Epoch 002 [ 160/721]  loss=0.1983  lr=3.33e-05  ema_tau=0.99602
  Epoch 002 [ 180/721]  loss=0.2011  lr=3.37e-05  ema_tau=0.99602
  Epoch 002 [ 200/721]  loss=0.2070  lr=3.42e-05  ema_tau=0.99602
  Epoch 002 [ 220/721]  loss=0.2121  lr=3.46e-05  ema_tau=0.99602
  Epoch 002 [ 240/721]  loss=0.2272  lr=3.50e-05  ema_tau=0.99602
  Epoch 002 [ 260/721]  loss=0.2269  lr=3.54e-05  ema_tau=0.99602
  Epoch 002 [ 280/721]  loss=0.2122  lr=3.58e-05  ema_tau=0.99602
  Epoch 002 [ 300/721]  loss=0.2175  lr=3.62e-05  ema_tau=0.99602
  Epoch 002 [ 320/721]  loss=0.2402  lr=3.67e-05  ema_tau=0.99602
  Epoch 002 [ 340/721]  loss=0.2198  lr=3.71e-05  ema_tau=0.99602
  Epoch 002 [ 360/721]  loss=0.2000  lr=3.75e-05  ema_tau=0.99602
  Epoch 002 [ 380/721]  loss=0.2283  lr=3.79e-05  ema_tau=0.99603
  Epoch 002 [ 400/721]  loss=0.2304  lr=3.83e-05  ema_tau=0.99603
  Epoch 002 [ 420/721]  loss=0.2225  lr=3.87e-05  ema_tau=0.99603
  Epoch 002 [ 440/721]  loss=0.2334  lr=3.92e-05  ema_tau=0.99603
  Epoch 002 [ 460/721]  loss=0.2225  lr=3.96e-05  ema_tau=0.99603
  Epoch 002 [ 480/721]  loss=0.2395  lr=4.00e-05  ema_tau=0.99603
  Epoch 002 [ 500/721]  loss=0.2283  lr=4.04e-05  ema_tau=0.99603
  Epoch 002 [ 520/721]  loss=0.2325  lr=4.08e-05  ema_tau=0.99603
  Epoch 002 [ 540/721]  loss=0.2722  lr=4.12e-05  ema_tau=0.99603
  Epoch 002 [ 560/721]  loss=0.2389  lr=4.17e-05  ema_tau=0.99603
  Epoch 002 [ 580/721]  loss=0.2242  lr=4.21e-05  ema_tau=0.99603
  Epoch 002 [ 600/721]  loss=0.2563  lr=4.25e-05  ema_tau=0.99603
  Epoch 002 [ 620/721]  loss=0.2240  lr=4.29e-05  ema_tau=0.99603
  Epoch 002 [ 640/721]  loss=0.2536  lr=4.33e-05  ema_tau=0.99603
  Epoch 002 [ 660/721]  loss=0.2544  lr=4.37e-05  ema_tau=0.99603
  Epoch 002 [ 680/721]  loss=0.2571  lr=4.41e-05  ema_tau=0.99603
  Epoch 002 [ 700/721]  loss=0.2626  lr=4.46e-05  ema_tau=0.99603
  Epoch 002 [ 720/721]  loss=0.2809  lr=4.50e-05  ema_tau=0.99604

Epoch 002 done | avg_loss=0.2256 | time=289.0s
  Val loss: 0.2603
  Checkpoint saved → /scratch/va2661/data/active_matter/checkpoints/jepa_run3/latest.pt

  Epoch 003 [   0/721]  loss=0.2664  lr=4.50e-05  ema_tau=0.99604
  Epoch 003 [  20/721]  loss=0.2741  lr=4.54e-05  ema_tau=0.99604
  Epoch 003 [  40/721]  loss=0.2651  lr=4.58e-05  ema_tau=0.99604
  Epoch 003 [  60/721]  loss=0.2517  lr=4.62e-05  ema_tau=0.99604
  Epoch 003 [  80/721]  loss=0.2758  lr=4.67e-05  ema_tau=0.99604
  Epoch 003 [ 100/721]  loss=0.2693  lr=4.71e-05  ema_tau=0.99604
  Epoch 003 [ 120/721]  loss=0.2581  lr=4.75e-05  ema_tau=0.99604
  Epoch 003 [ 140/721]  loss=0.2433  lr=4.79e-05  ema_tau=0.99604
  Epoch 003 [ 160/721]  loss=0.2793  lr=4.83e-05  ema_tau=0.99604
  Epoch 003 [ 180/721]  loss=0.2888  lr=4.87e-05  ema_tau=0.99604
  Epoch 003 [ 200/721]  loss=0.2812  lr=4.92e-05  ema_tau=0.99604
  Epoch 003 [ 220/721]  loss=0.2795  lr=4.96e-05  ema_tau=0.99604
  Epoch 003 [ 240/721]  loss=0.2610  lr=5.00e-05  ema_tau=0.99604
  Epoch 003 [ 260/721]  loss=0.2809  lr=5.04e-05  ema_tau=0.99604
  Epoch 003 [ 280/721]  loss=0.2772  lr=5.08e-05  ema_tau=0.99605
  Epoch 003 [ 300/721]  loss=0.2877  lr=5.12e-05  ema_tau=0.99605
  Epoch 003 [ 320/721]  loss=0.2965  lr=5.17e-05  ema_tau=0.99605
  Epoch 003 [ 340/721]  loss=0.2883  lr=5.21e-05  ema_tau=0.99605
  Epoch 003 [ 360/721]  loss=0.2827  lr=5.25e-05  ema_tau=0.99605
  Epoch 003 [ 380/721]  loss=0.2844  lr=5.29e-05  ema_tau=0.99605
  Epoch 003 [ 400/721]  loss=0.2925  lr=5.33e-05  ema_tau=0.99605
  Epoch 003 [ 420/721]  loss=0.2734  lr=5.37e-05  ema_tau=0.99605
  Epoch 003 [ 440/721]  loss=0.3056  lr=5.42e-05  ema_tau=0.99605
  Epoch 003 [ 460/721]  loss=0.2835  lr=5.46e-05  ema_tau=0.99605
  Epoch 003 [ 480/721]  loss=0.2871  lr=5.50e-05  ema_tau=0.99605
  Epoch 003 [ 500/721]  loss=0.2675  lr=5.54e-05  ema_tau=0.99605
  Epoch 003 [ 520/721]  loss=0.2948  lr=5.58e-05  ema_tau=0.99605
  Epoch 003 [ 540/721]  loss=0.2875  lr=5.62e-05  ema_tau=0.99606
  Epoch 003 [ 560/721]  loss=0.2886  lr=5.67e-05  ema_tau=0.99606
  Epoch 003 [ 580/721]  loss=0.3193  lr=5.71e-05  ema_tau=0.99606
